,Name,Date of Birth,Date of Death,Race,Gender,Religion,Title,Term Start,Term End,Party,Nominator,Court,Year
837,Gen Kajitani,1935-01-15,,,male,,Justice of the Supreme Court of Japan,1999-04-21,2005-01-14,,,Japan,1999
838,Akira Machida,1936-10-16,2015-04-05,,male,,Justice of the Supreme Court of Japan,2000-03-22,2006-10-15,,,Japan,2000
839,Takehisa Fukazawa,1934-01-05,,,male,,Justice of the Supreme Court of Japan,2000-09-14,2004-01-04,,,Japan,2000
840,Kunio Hamada,1936-05-24,,,male,,Justice of the Supreme Court of Japan,2001-05-01,2006-05-23,,,Japan,2001
841,Kazuko Yokoo,1941-04-14,,,female,,Justice of the Supreme Court of Japan,2001-12-19,2008-09-11,,,Japan,2001
842,Toyozo Ueda,1937-05-23,,,male,,Justice of the Supreme Court of Japan,2002-02-21,2007-05-22,,,Japan,2002
843,Shigeo Takii,1936-10-31,2015-02-28,,male,,Justice of the Supreme Court of Japan,2002-06-11,2006-10-30,,,Japan,2002
844,Tokiyasu Fujita,1940-04-06,,,male,,Justice of the Supreme Court of Japan,2002-09-30,2010-04-05,,,Japan,2002
845,Tatsuo Kainaka,1940-01-02,,,male,,Justice of the Supreme Court of Japan,2002-10-07,2010-01-01,,,Japan,2002
846,Akira Machida,1936-10-16,2015-04-05,,male,,Chief Justice of Japan,2002-11-06,2006-10-15,,,Japan,2002
847,Tokuji Izumi,1939-01-01,,,male,,Justice of the Supreme Court of Japan,2002-11-06,2009-01-24,,,Japan,2002
848,Niro Shimada,1938-11-22,,,male,,Justice of the Supreme Court of Japan,2002-11-07,2008-11-21,,,Japan,2002
849,Chiharu Saiguchi,1938-09-03,,,male,,Justice of the Supreme Court of Japan,2004-01-06,2008-09-02,,,Japan,2004
850,Osamu Tsuno,1938-10-20,,,male,,Justice of the Supreme Court of Japan,2004-02-26,2008-10-19,,,Japan,2004
851,Isao Imai,1939-12-26,,,male,,Justice of the Supreme Court of Japan,2004-12-27,2009-12-25,,,Japan,2004
852,Ryoji Nakagawa,1939-12-23,,,male,,Justice of the Supreme Court of Japan,2005-01-19,2009-12-22,,,Japan,2005
853,Yukio Horigome,1940-06-16,,,male,,Justice of the Supreme Court of Japan,2005-05-17,2010-06-15,,,Japan,2005
854,Yuki Furuta,1942-04-08,,,male,,Justice of the Supreme Court of Japan,2005-08-02,2012-04-07,,,Japan,2005
855,Kohei Nasu,1942-01-01,,,male,,Justice of the Supreme Court of Japan,2006-05-25,2012-02-10,,,Japan,2006
856,Niro Shimada,1938-11-22,,,male,,Chief Justice of Japan,2006-10-16,2008-11-21,,,Japan,2006
857,Norio Wakui,1942-02-11,2009-12-17,,male,,Justice of the Supreme Court of Japan,2006-10-16,2009-12-17,,,Japan,2006
858,Mutsuo Tahara,1943-04-23,2016-02-19,,male,,Justice of the Supreme Court of Japan,2006-11-01,2013-04-22,,,Japan,2006
859,Takaharu Kondo,1944-03-24,2010-11-21,,male,,Justice of the Supreme Court of Japan,2007-05-23,2010-11-21,,,Japan,2007
860,Koji Miyakawa,1942-02-28,,,male,,Justice of the Supreme Court of Japan,2008-09-03,2012-02-27,,,Japan,2008
861,Yukio Takeuchi,1943-07-20,,,male,,Justice of the Supreme Court of Japan,2008-10-21,2013-07-19,,,Japan,2008
862,Hironobu Takesaki,1944-07-08,,,male,,Chief Justice of Japan,2008-11-25,2014-03-31,,,Japan,2008
863,Hironobu Takesaki,1944-07-08,,,male,,Justice of the Supreme Court of Japan,2008-11-25,2014-03-31,,,Japan,2008
864,Seishi Kanetsuki,1945-04-01,,,male,,Justice of the Supreme Court of Japan,2009-01-26,2015-03-31,,,Japan,2009
865,Masahiko Sudō,1942-12-27,2016-11-05,,male,,Justice of the Supreme Court of Japan,2009-12-28,2012-12-26,,,Japan,2009
866,Katsumi Chiba,1946-08-25,,,male,,Justice of the Supreme Court of Japan,2009-12-28,2016-08-24,,,Japan,2009
867,Tomoyuki Yokota,1944-10-02,,,male,,Justice of the Supreme Court of Japan,2010-01-06,2014-10-01,,,Japan,2010
868,Yu Shiraki,1945-02-15,,,male,,Justice of the Supreme Court of Japan,2010-01-15,2015-02-14,,,Japan,2010
869,Itsurō Terada,1948-01-09,,,male,,Justice of the Supreme Court of Japan,2010-12-27,2018-01-08,,,Japan,2010
870,Yoshiki Yamaura,1946-07-04,,,male,,Justice of the Supreme Court of Japan,2012-03-01,2016-07-03,,,Japan,2012
871,Itsurō Terada,1948-01-09,,,male,,Chief Justice of Japan,2014-04-01,2018-01-08,,,Japan,2014
872,Naoto Ōtani,1952-06-23,,,male,,Justice of the Supreme Court of Japan,2015-02-17,,,,Japan,2015
873,Koike Hiroshi,1951-07-03,,,male,,Justice of the Supreme Court of Japan,2015-04-02,,,,Japan,2015
874,Katsuyuki Kizawa,1951-08-27,,,male,,Justice of the Supreme Court of Japan,2016-07-19,,,,Japan,2016
875,Hiroyuki Kanno,1952-07-03,,,male,,Justice of the Supreme Court of Japan,2016-09-05,,,,Japan,2016
876,Atsushi Yamaguchi,1953-01-01,,,male,,Justice of the Supreme Court of Japan,2017-02-06,,,,Japan,2017
877,Atsushi Yamaguchi,1953-11-01,,,male,,Justice of the Supreme Court of Japan,2017-02-06,,,,Japan,2017
878,Saburō Tokura,1954-08-11,,,male,,Justice of the Supreme Court of Japan,2017-03-14,,,,Japan,2017
879,Keiichi Hayashi,1951-02-08,,,male,,Justice of the Supreme Court of Japan,2017-04-10,2021-02-07,,,Japan,2017
880,Naoto Ōtani,1952-06-23,,,male,,Chief Justice of Japan,2018-01-01,,,,Japan,2018
881,George Arney,1810-01-01,1883-04-07,,male,,Chief Justice of New Zealand,,,,,New Zealand,
882,Charles Skerrett,1863-09-02,1929-02-13,,male,,Chief Justice of New Zealand,,,,,New Zealand,
883,James Prendergast,1826-12-10,1921-02-27,,male,,Chief Justice of New Zealand,,,,,New Zealand,
884,William Martin,1807-01-01,1880-11-18,,male,,Chief Justice of New Zealand,,,,,New Zealand,
885,Robert Stout,1844-09-28,1930-07-19,,male,,Chief Justice of New Zealand,1899-05-25,1926-01-31,New Zealand Liberal Party,,New Zealand,1899
886,Thomas Eichelbaum,1931-05-17,2018-10-31,,male,,Chief Justice of New Zealand,1989-02-06,1999-05-16,,,New Zealand,1989
887,Sian Elias,1949-03-13,,,female,,Chief Justice of New Zealand,1999-05-17,2019-03-13,,,New Zealand,1999
888,Helen Winkelmann,1962-01-01,,,female,,Chief Justice of New Zealand,2019-03-14,,,,New Zealand,2019
889,Iver Steen Thomle,1812-03-01,1889-09-16,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
890,Even Saxlund,1811-06-10,1902-08-06,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
891,Even Saxlund,1811-06-16,1902-08-06,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
892,Helge Klæstad,1885-12-06,1965-05-23,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
893,Ole Andreas Bachke,1830-05-06,1890-01-03,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
894,Lilly Bølviken,1914-03-20,2011-09-11,,female,,Justice in the Supreme Court of Norway,,,,,Norway,
895,Sigurd Fougner,1879-09-10,1959-01-01,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
896,Henrik Anker Bjerregaard,1792-01-01,1842-04-07,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
897,Axel Heiberg,1908-01-01,1988-01-01,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
898,Ferdinand Nicolai Roll,1831-05-28,1921-02-28,,male,,Justice in the Supreme Court of Norway,,,Conservative Party of Norway,,Norway,
899,Hans Methlie Michelsen,1920-03-29,2014-01-31,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
900,Marius Cathrinus Backer,1866-06-25,1960-02-19,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
901,Peter Vogt Ottesen,1820-02-28,1916-07-31,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
902,Christopher Hansteen,1822-09-26,1912-03-10,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
903,Reidar Skau,1893-12-26,1975-02-19,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
904,Johan Herman Lie,1869-01-01,1951-01-01,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
905,Anton Cathinco Stub Holmboe,1892-01-31,1980-03-15,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
906,Fredrik Christian Stoud Platou,1811-02-17,1891-06-23,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
907,Egil Endresen,1920-04-28,1992-05-10,,male,,Justice in the Supreme Court of Norway,,,Conservative Party of Norway,,Norway,
908,Lorentz Lange,1781-12-23,1860-03-08,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
909,Lorentz Lange,1783-12-23,1860-03-08,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
910,Morten Diderik Emil Lambrechts,1824-10-04,1900-05-28,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
911,Arne Sunde,1883-12-06,1972-07-30,,male,,Justice in the Supreme Court of Norway,,,Liberal Party,,Norway,
912,Georg Frederik Hallager,1816-03-20,1876-11-10,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
913,Paul Ivar Paulsen,1868-02-13,1938-10-12,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
914,Ulrik Anton Motzfeldt,1807-01-27,1865-06-10,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
915,Ulrik Anton Motzfeldt,1807-01-27,1865-07-10,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
916,Claus Winter Hjelm,1797-05-21,1871-10-22,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
917,Thorvald Boye,1871-02-01,1943-12-10,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
918,Trygve Leivestad,1907-01-29,1994-12-14,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
919,Elisabeth Schweigaard Selmer,1923-10-18,2009-06-18,,female,,Justice in the Supreme Court of Norway,,,Conservative Party of Norway,,Norway,
920,Peter Collett,1766-08-08,1836-07-27,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
921,Peder Martin Ottesen,1783-09-17,1852-03-18,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
922,Edward Isak Hambro,1851-12-26,1936-08-13,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
923,Philip Henrik Hansteen,1817-03-30,1911-06-13,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
924,Anton Wilhelm Manthey,1807-05-30,1885-10-28,,male,,Justice in the Supreme Court of Norway,,,,,Norway,
925,Nicolai Helseth,1898-08-16,1982-01-23,,male,,Justice in the Supreme Court of Norway,,,Nasjonal Samling,,Norway,
926,Nicolai Helseth,1898-08-16,1982-01-23,,male,,Justice in the Supreme Court of Norway,,,Conservative Party of Norway,,Norway,
927,Johan Randulf Bull,1749-04-29,1829-02-28,,male,,Chief Justice of the Supreme Court of Norway,1814-01-01,1827-01-01,,,Norway,1814
928,Jørgen Mandix,1759-01-15,1835-08-08,,male,,Justice in the Supreme Court of Norway,1814-01-01,1831-01-01,,,Norway,1814
929,Andreas Arntzen,1777-02-18,1837-12-14,,male,,Justice in the Supreme Court of Norway,1824-01-01,1837-01-01,,,Norway,1824
930,Christian Magnus Falsen,1782-09-14,1830-01-13,,male,,Chief Justice of the Supreme Court of Norway,1827-01-01,1830-01-01,,,Norway,1827
931,Jørgen Mandix,1759-01-15,1835-08-08,,male,,Chief Justice of the Supreme Court of Norway,1831-01-01,1835-01-01,,,Norway,1831
932,Georg Jacob Bull,1785-08-01,1854-12-12,,male,,Chief Justice of the Supreme Court of Norway,1836-01-01,1854-01-01,,,Norway,1836
933,Eskild Bruun,1804-10-12,1877-10-09,,male,,Justice in the Supreme Court of Norway,1843-01-01,1866-01-01,,,Norway,1843
934,Otto Joachim Løvenskiold,1811-05-14,1882-08-04,,male,,Justice in the Supreme Court of Norway,1854-03-10,1882-08-04,,,Norway,1854
935,Peder Carl Lasson,1798-11-14,1873-06-05,,male,,Chief Justice of the Supreme Court of Norway,1855-01-01,1873-01-01,,,Norway,1855
936,Hans Gerhard Meldahl,1815-10-05,1877-12-25,,male,,Justice in the Supreme Court of Norway,1859-01-01,1874-01-01,,,Norway,1859
937,August Thomle,1816-06-06,1889-06-24,,male,,Justice in the Supreme Court of Norway,1865-01-01,1881-01-01,,,Norway,1865
938,Hans Gerhard Meldahl,1815-10-05,1877-12-25,,male,,Chief Justice of the Supreme Court of Norway,1874-01-01,1877-01-01,,,Norway,1874
939,Iver Steen Thomle,1812-03-01,1889-09-16,,male,,Chief Justice of the Supreme Court of Norway,1878-01-01,1886-01-01,,,Norway,1878
940,Morten Diderik Emil Lambrechts,1824-10-04,1900-05-28,,male,,Chief Justice of the Supreme Court of Norway,1887-01-01,1900-01-01,,,Norway,1887
941,Lauritz Birkeland,1839-04-03,1922-09-08,,male,,Justice in the Supreme Court of Norway,1900-01-01,,,,Norway,1900
942,Einar Løchen,1850-11-02,1908-11-27,,male,,Chief Justice of the Supreme Court of Norway,1900-01-01,1908-01-01,Liberal Party,,Norway,1900
943,Einar Løchen,1850-11-20,1908-11-27,,male,,Chief Justice of the Supreme Court of Norway,1900-01-01,1908-01-01,Liberal Party,,Norway,1900
944,Karenus Kristofer Thinn,1850-12-19,1942-03-24,,male,,Chief Justice of the Supreme Court of Norway,1909-01-01,1920-01-01,,,Norway,1909
945,Arne Vogt,1848-11-03,1935-01-27,,male,,Justice in the Supreme Court of Norway,1911-01-01,1918-01-01,,,Norway,1911
946,Herman Scheel,1859-01-18,1956-09-29,,male,,Chief Justice of the Supreme Court of Norway,1920-01-01,1929-01-01,Conservative Party of Norway,,Norway,1920
947,Herman Scheel,1859-01-19,1956-09-29,,male,,Chief Justice of the Supreme Court of Norway,1920-01-01,1929-01-01,Conservative Party of Norway,,Norway,1920
948,Thomas Bonnevie,1879-09-12,1960-05-19,,male,,Justice in the Supreme Court of Norway,1922-01-01,1950-01-01,,,Norway,1922
949,Paal Berg,1873-01-18,1968-05-24,,male,,Chief Justice of the Supreme Court of Norway,1929-01-01,1946-01-01,Liberal Party,,Norway,1929
950,Sverre Grette,1888-05-31,1959-01-25,,male,,Justice in the Supreme Court of Norway,1936-01-01,1952-01-01,,,Norway,1936
951,Emil Stang,1882-09-22,1964-12-21,,male,,Chief Justice of the Supreme Court of Norway,1946-01-01,1952-01-01,Norwegian Labour Party,,Norway,1946
952,Emil Stang,1882-09-22,1964-12-21,,male,,Chief Justice of the Supreme Court of Norway,1946-01-01,1952-01-01,Communist Party of Norway,,Norway,1946
953,Andreas Schei,1902-10-07,1989-12-25,,male,,Justice in the Supreme Court of Norway,1946-01-01,1962-01-01,,,Norway,1946
954,Sverre Grette,1888-05-31,1959-01-25,,male,,Chief Justice of the Supreme Court of Norway,1952-01-01,1958-01-01,,,Norway,1952
955,Terje Wold,1899-08-23,1972-09-06,,male,,Chief Justice of the Supreme Court of Norway,1958-01-01,1969-01-01,Norwegian Labour Party,,Norway,1958
956,Knut Blom,1916-02-14,1996-02-06,,male,,Justice in the Supreme Court of Norway,1968-01-01,1986-01-01,,,Norway,1968
957,Rolv Ryssdal,1914-10-27,1998-02-18,,male,,Chief Justice of the Supreme Court of Norway,1969-01-01,1984-01-01,,,Norway,1969
958,Sigurd Lorentzen,1916-08-05,1979-01-25,,male,,Justice in the Supreme Court of Norway,1972-01-01,1979-01-01,,,Norway,1972
959,Vera Louise Holmøy,1931-04-27,2021-12-12,,female,,Justice in the Supreme Court of Norway,1976-01-01,2001-01-01,,,Norway,1976
960,Gunnar Aasland,1936-04-15,,,male,,Justice in the Supreme Court of Norway,1979-04-01,2006-04-01,,,Norway,1979
961,Erling Sandene,1921-04-07,2015-03-05,,male,,Chief Justice of the Supreme Court of Norway,1984-01-01,1991-01-01,,,Norway,1984
962,Trond Dolva,1934-07-13,,,male,,Justice in the Supreme Court of Norway,1984-01-01,2004-01-01,,,Norway,1984
963,Tore Schei,1946-02-19,,,male,,Justice in the Supreme Court of Norway,1986-03-01,2002-08-01,,,Norway,1986
964,Liv Gjølstad,1945-01-09,,,female,,Justice in the Supreme Court of Norway,1988-09-01,2015-01-01,,,Norway,1988
965,Ketil Lund,1939-07-15,,,male,,Justice in the Supreme Court of Norway,1990-01-01,2009-01-01,,,Norway,1990
966,Carsten Smith,1932-07-13,,,male,,Chief Justice of the Supreme Court of Norway,1991-05-01,2002-08-01,,,Norway,1991
967,Magnus Aarbakke,1934-10-14,,,male,,Justice in the Supreme Court of Norway,1994-01-01,2002-01-01,,,Norway,1994
968,Eilert Stang Lund,1939-07-15,,,male,,Justice in the Supreme Court of Norway,1995-01-01,2009-01-01,,,Norway,1995
969,Lars Oftedal Broch,1939-01-01,2017-11-11,,male,,Justice in the Supreme Court of Norway,1996-08-26,2008-01-01,,,Norway,1996
970,Georg Fredrik Rieber-Mohn,1945-08-13,,,male,,Justice in the Supreme Court of Norway,1997-01-01,2007-11-01,,,Norway,1997
971,Magnus Matningsdal,1951-09-29,,,male,,Justice in the Supreme Court of Norway,1997-08-11,,,,Norway,1997
972,Jens Edvin A. Skoghøy,1955-02-16,,,male,,Justice in the Supreme Court of Norway,1998-08-15,2017-01-01,,,Norway,1998
973,Karl Arne Utgård,1951-03-06,,,male,,Justice in the Supreme Court of Norway,1999-11-15,2019-01-01,,,Norway,1999
974,Ingse Stabel,1946-12-14,,,female,,Justice in the Supreme Court of Norway,2001-01-01,2017-01-01,,,Norway,2001
975,Tore Schei,1946-02-19,,,male,,Chief Justice of the Supreme Court of Norway,2002-08-01,2016-02-29,,,Norway,2002
976,Toril Marie Øie,1960-07-17,,,female,,Justice in the Supreme Court of Norway,2004-08-01,,,,Norway,2004
977,Bård Tønder,1948-05-01,,,male,,Justice in the Supreme Court of Norway,2006-05-15,2018-06-01,,,Norway,2006
978,Clement Endresen,1949-11-08,,,male,,Justice in the Supreme Court of Norway,2006-08-28,2019-10-30,,,Norway,2006
979,Hilde Indreberg,1957-10-22,,,female,,Justice in the Supreme Court of Norway,2007-04-01,,,,Norway,2007
980,Arnfinn Bårdsen,1966-07-11,,,male,,Justice in the Supreme Court of Norway,2008-07-01,2019-01-01,,,Norway,2008
981,Bergljot Webster,1966-02-16,,,female,,Justice in the Supreme Court of Norway,2009-08-15,,,,Norway,2009
982,Erik Møse,1950-10-09,,,male,,Justice in the Supreme Court of Norway,2009-08-15,2020-11-01,,,Norway,2009
983,Wilhelm Matheson,1955-05-05,,,male,,Justice in the Supreme Court of Norway,2009-11-01,,,,Norway,2009
984,Aage Thor Falkanger,1965-02-18,,,male,,Justice in the Supreme Court of Norway,2010-05-01,,,,Norway,2010
985,Kristin Normann,1954-05-01,,,female,,Justice in the Supreme Court of Norway,2010-08-09,,,,Norway,2010
986,Ragnhild Noer,1959-12-28,,,female,,Justice in the Supreme Court of Norway,2010-10-01,,,,Norway,2010
987,Henrik Bull,1957-01-01,,,male,,Justice in the Supreme Court of Norway,2011-01-17,,,,Norway,2011
988,Knut H. Kallerud,1956-04-13,,,male,,Justice in the Supreme Court of Norway,2011-07-16,,,,Norway,2011
989,Per-Erik Bergsjø,1958-05-22,,,male,,Justice in the Supreme Court of Norway,2012-03-01,,,,Norway,2012
990,Arne Ringnes,1955-04-28,,,male,,Justice in the Supreme Court of Norway,2014-08-18,,,,Norway,2014
991,Wenche Elizabeth Arntzen,1959-06-26,,,female,,Justice in the Supreme Court of Norway,2014-09-29,,,,Norway,2014
992,Ingvald Falch,1963-01-01,,,male,,Justice in the Supreme Court of Norway,2015-09-01,,,,Norway,2015
993,Toril Marie Øie,1960-07-17,,,female,,Chief Justice of the Supreme Court of Norway,2016-03-01,,,,Norway,2016
994,Espen Bergh,1961-01-01,,,male,,Justice in the Supreme Court of Norway,2016-08-15,,,,Norway,2016
995,Cecilie Østensen Berglund,1971-10-02,,,female,,Justice in the Supreme Court of Norway,2017-01-01,,,,Norway,2017
996,Borgar Høgetveit Berg,1970-04-09,,,male,,Justice in the Supreme Court of Norway,2017-05-01,,,,Norway,2017
997,Kine Elisabeth Steinsvik,1976-05-13,,,female,,Justice in the Supreme Court of Norway,2019-02-15,,,,Norway,2019
998,Erik Thyness,1961-05-30,,,male,,Justice in the Supreme Court of Norway,2019-02-15,,,,Norway,2019
999,Jens Edvin A. Skoghøy,1955-02-16,,,male,,Justice in the Supreme Court of Norway,2020-11-01,,,,Norway,2020
1000,Knut Erik Sæther,1970-01-01,,,male,,Justice in the Supreme Court of Norway,2021-01-01,,,,Norway,2021
1001,John O'Byrne,1884-04-24,1954-01-14,,male,,Judge of the Supreme Court of Ireland,1940-05-17,1954-07-02,Fine Gael,,Republic of Ireland,1940
1002,Cecil Lavery,1894-10-06,1967-12-16,,male,,Judge of the Supreme Court of Ireland,1950-04-21,1966-08-06,,,Republic of Ireland,1950
1003,Cearbhall Ó Dálaigh,1911-02-12,1978-03-21,,male,Catholic Church,Judge of the Supreme Court of Ireland,1953-11-03,1973-09-22,Fianna Fáil,,Republic of Ireland,1953
1004,Kevin Haugh,1901-11-17,1969-04-05,,male,,Judge of the Supreme Court of Ireland,1961-01-01,1968-08-14,Fianna Fáil,,Republic of Ireland,1961
1005,John L. Murray,1943-05-10,,,male,,Judge of the Supreme Court of Ireland,1999-05-02,2015-06-26,Fianna Fáil,,Republic of Ireland,1999
1006,Donal O'Donnell,1958-04-10,,,male,,Judge of the Supreme Court of Ireland,2010-01-20,,,,Republic of Ireland,2010
1007,Q55734414,1957-01-01,,,,,Supreme Court Justices of South Korea,,,,,South Korea,
1008,Q18730844,1959-07-20,,,male,,Supreme Court Justices of South Korea,,,,,South Korea,
1009,Q47004960,1965-03-13,,,female,,Supreme Court Justices of South Korea,,,,,South Korea,
1010,Q16080181,1933-01-01,,,,,Chief Justice of the Republic of Korea,,,,,South Korea,
1011,Q16080338,1924-12-17,,,,,Chief Justice of the Republic of Korea,,,,,South Korea,
1012,Kim Byeong-ro,1887-12-15,1964-01-13,,,,Chief Justice of the Republic of Korea,,,,,South Korea,
1013,Q12610186,1935-04-01,,,male,,Chief Justice of the Republic of Korea,,,,,South Korea,
1014,Q12612055,1919-11-05,2000-11-11,,male,,Chief Justice of the Republic of Korea,,,,,South Korea,
1015,Q12612411,1920-12-16,2007-12-02,,,,Chief Justice of the Republic of Korea,,,,,South Korea,
1016,Jo Jin-man,1903-10-20,1979-02-12,,,,Chief Justice of the Republic of Korea,,,,,South Korea,
1017,Q16081153,1913-12-12,2007-07-13,,,,Chief Justice of the Republic of Korea,,,,,South Korea,
1018,Q12610068,1919-11-28,2005-01-17,,male,,Chief Justice of the Republic of Korea,,,,,South Korea,
1019,Q55736734,1961-01-01,,,male,,Supreme Court Justices of South Korea,,,,,South Korea,
1020,Q12604464,1954-01-15,,,male,,Supreme Court Justices of South Korea,,,,,South Korea,
1021,Q16179287,1898-02-19,1975-08-27,,,,Chief Justice of the Republic of Korea,,,,,South Korea,
1022,Q16173280,1939-02-20,,,male,,Chief Justice of the Republic of Korea,1999-09-23,2005-09-23,,,South Korea,1999
1023,Lee Yong-hun,1942-02-07,,,male,,Chief Justice of the Republic of Korea,2005-09-26,2011-09-23,,,South Korea,2005
1024,Q12597022,1951-01-15,,,male,,Supreme Court Justices of South Korea,2006-07-01,2012-07-10,,,South Korea,2006
1025,Yang Sung-tae,1948-01-26,,,male,,Chief Justice of the Republic of Korea,2011-09-25,2017-09-24,,,South Korea,2011
1026,Q18733656,1957-06-06,,,male,,Supreme Court Justices of South Korea,2014-03-04,2020-03-03,,,South Korea,2014
1027,Q19349432,1956-01-01,,,male,,Supreme Court Justices of South Korea,2015-05-08,2021-05-07,,,South Korea,2015
1028,Q55728316,1965-01-01,,,male,,Supreme Court Justices of South Korea,2016-09-01,,,,South Korea,2016
1029,Kim Myeong-soo,1959-10-12,,,male,,Chief Justice of the Republic of Korea,2017-09-25,,,,South Korea,2017
1030,Q55728795,1962-11-20,,,male,,Supreme Court Justices of South Korea,2020-03-04,,,,South Korea,2020
1031,Q97231128,1963-03-30,,,male,,Supreme Court Justices of South Korea,2020-09-08,,,,South Korea,2020
1032,Q106792173,1964-02-06,,,male,,Supreme Court Justices of South Korea,2021-05-10,,,,South Korea,2021
1033,Q108073914,1968-12-16,,,female,,Supreme Court Justices of South Korea,2021-09-17,,,,South Korea,2021
1034,Q63487510,1928-06-11,2014-03-01,,male,,Justice of the Supreme Administrative Court of Sweden,1984-01-01,,,,Sweden,1984
1035,Helena Jäderblom,1958-10-16,,,female,,Justice of the Supreme Administrative Court of Sweden,2011-03-01,2012-01-01,,,Sweden,2011
1036,Christer Silfverberg,1951-01-01,,,male,,Justice of the Supreme Administrative Court of Sweden,2012-02-01,2017-01-01,,,Sweden,2012
1037,Elisabeth Rynning,1955-05-17,,,female,,Justice of the Supreme Administrative Court of Sweden,2012-10-15,2016-01-01,,,Sweden,2012
1038,Thomas Bull,1965-01-01,,,male,,Justice of the Supreme Administrative Court of Sweden,2013-01-01,,,,Sweden,2013
1039,Per Classon,1961-01-01,,,male,,Justice of the Supreme Administrative Court of Sweden,2014-09-01,,,,Sweden,2014
1040,Inga-Lill Askersjö,1958-01-31,,,female,,Justice of the Supreme Administrative Court of Sweden,2014-10-01,,,,Sweden,2014
1041,Mahmut Baran,1959-03-01,,,male,,Justice of the Supreme Administrative Court of Sweden,2014-10-15,,,,Sweden,2014
1042,Mari Andersson,1954-01-01,,,female,,Justice of the Supreme Administrative Court of Sweden,2015-05-01,2020-02-29,,,Sweden,2015
1043,Leif Gäverth,1958-01-01,,,male,,Justice of the Supreme Administrative Court of Sweden,2015-10-05,,,,Sweden,2015
1044,Kristina Svahn Starrsjö,1961-01-01,,,female,,Justice of the Supreme Administrative Court of Sweden,2017-09-04,,,,Sweden,2017
1045,Ulrik von Essen,1964-01-01,,,male,,Justice of the Supreme Administrative Court of Sweden,2017-09-18,,,,Sweden,2017
1046,Helena Rosén Andersson,1966-01-01,,,female,,Justice of the Supreme Administrative Court of Sweden,2017-10-02,,,,Sweden,2017
1047,Helena Jäderblom,1958-10-16,,,female,,President of the Supreme Administrative Court of Sweden,2018-09-01,,,,Sweden,2018
1048,Helena Jäderblom,1958-10-16,,,female,,Justice of the Supreme Administrative Court of Sweden,2018-09-01,,,,Sweden,2018
1049,Mats Anderson,1956-01-01,,,male,,Justice of the Supreme Administrative Court of Sweden,2018-12-01,,,,Sweden,2018
1050,Marie Jönsson,1961-01-01,,,female,,Justice of the Supreme Administrative Court of Sweden,2020-03-01,,,,Sweden,2020
1051,Adolf Martin Joakim Alexanderson,1800-01-01,1888-01-01,,male,,Justice of the Supreme Court of Sweden,,,,,Sweden,
1052,Carl Bonde,1741-09-11,1791-08-04,,male,,Justice of the Supreme Court of Sweden,1789-01-01,1791-01-01,,,Sweden,1789
1053,Carl Johan Ahnger,,,,male,,Justice of the Supreme Court of Sweden,1789-01-01,1791-01-01,,,Sweden,1789
1054,Christer Hoffgaardh,,,,male,,Justice of the Supreme Court of Sweden,1789-01-01,1791-01-01,,,Sweden,1789
1055,Axel Johan von Köhler,,,,male,,Justice of the Supreme Court of Sweden,1789-01-01,1792-01-01,,,Sweden,1789
1056,Olof Malmerfelt,1693-09-28,1771-09-10,,male,,Justice of the Supreme Court of Sweden,1789-01-01,1793-01-01,,,Sweden,1789
1057,Johan Bergencreutz,1747-03-12,1829-03-05,,male,,Justice of the Supreme Court of Sweden,1789-01-01,1793-01-01,,,Sweden,1789
1058,Pehr Juslén,1739-11-02,1794-04-05,,male,,Justice of the Supreme Court of Sweden,1789-01-01,1793-01-01,,,Sweden,1789
